date,ticker,finbert_score
2024-01-24,TSLA,-0.29755196571350095
2024-01-25,AAPL,-0.2727133333683014
2024-01-25,AMZN,0.49844345450401306
2024-01-25,GOOGL,0.977819174528122
2024-01-25,MSFT,-0.0005233138799667358
2024-01-25,TSLA,-0.5236037731170654
2024-01-26,AAPL,-0.34902825951576233
2024-01-26,AMZN,0.0
2024-01-26,GOOGL,0.2254062294960022
2024-01-26,MSFT,-0.33227115869522095
2024-01-26,TSLA,-0.7832898795604706
2024-01-30,GOOGL,0.0
2024-01-31,GOOGL,-0.24931228160858154
2024-01-31,META,-0.23176159461339316
2024-01-31,MSFT,0.24930372834205627
2024-01-31,TSLA,-0.1371345477444785
2024-02-01,AAPL,0.4535844922065735
2024-02-01,AMZN,0.3423933820290999
2024-02-01,GOOGL,0.4992561638355255
2024-02-01,META,0.3616523504257202
2024-02-01,MSFT,0.6657391587893168
2024-02-01,NVDA,0.0
2024-02-01,TSLA,-0.12455124408006668
2024-02-02,AAPL,0.007299214601516724
2024-02-02,AMZN,0.7490094006061554
2024-02-02,META,0.8316151996453603
2024-02-02,MSFT,-0.25016576051712036
2024-02-02,TSLA,-0.29473020349230084
2024-02-05,AAPL,-0.1997119426727295
2024-02-05,AMZN,-0.5665210723876953
2024-02-05,META,0.0
2024-02-05,NVDA,0.4900349974632263
2024-02-05,TSLA,-0.498832643032074
2024-02-06,AMZN,-0.013336559136708578
2024-02-06,GOOGL,-0.0020169317722320557
2024-02-06,META,0.009742240111033121
2024-02-07,AAPL,0.0
2024-02-07,GOOGL,-0.7138705849647522
2024-02-07,MSFT,0.5761619925498962
2024-02-07,TSLA,-0.3597673773765564
2024-02-08,AMZN,0.4979352056980133
2024-02-08,GOOGL,0.0
2024-02-08,META,-0.5374822616577148
2024-02-08,MSFT,0.0
2024-02-08,TSLA,0.7975842356681824
2024-02-09,AAPL,0.0
2024-02-09,AMZN,-0.9892499446868896
2024-02-09,GOOGL,0.0
2024-02-09,MSFT,0.6806640326976776
2024-02-09,NVDA,0.0
2024-02-09,TSLA,0.0
2024-02-12,AAPL,0.0
2024-02-12,AMZN,-0.49788519740104675
2024-02-12,GOOGL,0.0
2024-02-12,NVDA,0.827845960855484
2024-02-12,TSLA,-0.22688528895378113
2024-02-13,TSLA,0.5201728940010071
2024-02-14,AMZN,-0.5693828910589218
2024-02-14,GOOGL,-0.004647115866343181
2024-02-14,META,0.0
2024-02-14,MSFT,0.0
2024-02-14,TSLA,-0.565261721611023
2024-02-15,AAPL,0.8016630311806997
2024-02-15,GOOGL,0.0
2024-02-15,MSFT,0.3971680551767349
2024-02-15,NVDA,0.6647472977638245
2024-02-15,TSLA,-0.48673686385154724
2024-02-16,AAPL,-0.9946932196617126
2024-02-16,AMZN,0.0
2024-02-16,GOOGL,0.9559299945831299
2024-02-16,META,0.0
2024-02-16,MSFT,-0.4985051155090332
2024-02-16,NVDA,0.4943349361419678
2024-02-16,TSLA,0.13082826137542725
2024-02-20,AAPL,0.0
