sent_model,target,ticker,approach,mae,dir_acc
Qwen2.5,gap,NVDA,Bayesian,0.011581374583939385,0.0
Qwen2.5,gap,NVDA,Ridge,0.011546321051119378,0.6
Qwen2.5,gap,TSLA,Naive,0.015218778994813333,0.0
Qwen2.5,gap,TSLA,Gated-Naive,0.015230657419579699,0.08888888888888889
Qwen2.5,gap,TSLA,Sent×Vol,0.015218778994813333,0.0
Qwen2.5,gap,TSLA,Dir-Nudge,0.015218778994813333,0.0
Qwen2.5,gap,TSLA,Extreme-Mag,0.015218778994813333,0.0
Qwen2.5,gap,TSLA,Bayesian,0.015218778994813333,0.0
Qwen2.5,gap,TSLA,Ridge,0.015239088728708309,0.5111111111111111
Qwen2.5,cc,AAPL,Naive,0.009596211000003768,0.0
Qwen2.5,cc,AAPL,Gated-Naive,0.009596211000003768,0.0
Qwen2.5,cc,AAPL,Sent×Vol,0.009596211000003768,0.0
Qwen2.5,cc,AAPL,Dir-Nudge,0.009596211000003768,0.0
Qwen2.5,cc,AAPL,Extreme-Mag,0.009596211000003768,0.0
Qwen2.5,cc,AAPL,Bayesian,0.009596211000003768,0.0
Qwen2.5,cc,AAPL,Ridge,0.009512355266401708,0.5555555555555556
Qwen2.5,cc,AMZN,Naive,0.012459625343981222,0.0
Qwen2.5,cc,AMZN,Gated-Naive,0.012459625343981222,0.0
Qwen2.5,cc,AMZN,Sent×Vol,0.012459625343981222,0.0
Qwen2.5,cc,AMZN,Dir-Nudge,0.012459625343981222,0.0
Qwen2.5,cc,AMZN,Extreme-Mag,0.012459625343981222,0.0
Qwen2.5,cc,AMZN,Bayesian,0.012459625343981222,0.0
Qwen2.5,cc,AMZN,Ridge,0.012379168048426783,0.5555555555555556
Qwen2.5,cc,GOOGL,Naive,0.009851698262608333,0.0
Qwen2.5,cc,GOOGL,Gated-Naive,0.009851698262608333,0.0
Qwen2.5,cc,GOOGL,Sent×Vol,0.009851698262608333,0.0
Qwen2.5,cc,GOOGL,Dir-Nudge,0.009851698262608333,0.0
Qwen2.5,cc,GOOGL,Extreme-Mag,0.009851698262608333,0.0
Qwen2.5,cc,GOOGL,Bayesian,0.009851698262608333,0.0
