model,target,ticker,mae_mean,mae_std,dir_acc_mean,dir_acc_std
Gemma-3-1B,gap,NVDA,0.012246869690716266,0.0005713444312402555,60.0,1.6326530612244916
Gemma-3-1B,gap,TSLA,0.015959081426262855,9.397738350820884e-05,45.714285714285715,3.0544141932848494
Gemma-3-1B,cc,AAPL,0.00979230348020792,0.00033033329306989765,49.79591836734694,2.081232454527668
Gemma-3-1B,cc,AMZN,0.012425293028354645,3.270422122352562e-05,56.73469387755101,0.8163265306122457
Gemma-3-1B,cc,GOOGL,0.010704525746405125,0.0002393884299746388,40.816326530612244,3.161619058128505
Gemma-3-1B,cc,META,0.011163848638534545,0.000469675603622099,48.16326530612245,3.9991669269929426
Gemma-3-1B,cc,MSFT,0.007836715318262577,0.00015701901004511098,57.14285714285714,4.081632653061226
Gemma-3-1B,cc,NVDA,0.02562464103102684,0.0012484095288453126,53.06122448979591,3.4149388838125514
Gemma-3-1B,cc,TSLA,0.03106151893734932,0.0020260565549756184,50.612244897959194,2.3799803652429805
Qwen2.5,gap,AAPL,0.008111518807709217,0.0004099576349283383,48.97959183673469,1.29072557557893
Qwen2.5,gap,AMZN,0.006454718578606844,0.00016203012958309533,51.83673469387755,5.5666047742799405
Qwen2.5,gap,GOOGL,0.00758491326123476,0.0002903202954700182,33.877551020408156,2.448979591836735
Qwen2.5,gap,META,0.006257748231291771,0.00023232388746653469,60.0,2.7682979522960305
Qwen2.5,gap,MSFT,0.00621663210913539,0.00032784981967262276,66.12244897959184,2.448979591836733
Qwen2.5,gap,NVDA,0.012068684585392475,0.00038508555476914996,60.81632653061225,0.8163265306122458
Qwen2.5,gap,TSLA,0.016419541835784913,0.0006382595916111228,41.22448979591837,1.5272070966424243
Qwen2.5,cc,AAPL,0.010002018325030804,0.0003963894171292766,43.673469387755105,2.0812324545276684
Qwen2.5,cc,AMZN,0.01207109708338976,7.130499279732338e-05,57.55102040816327,3.2653061224489797
Qwen2.5,cc,GOOGL,0.01054481528699398,0.0003176216643438948,39.183673469387756,4.357991123278087
Qwen2.5,cc,META,0.012286802940070628,0.0010003005138134176,51.02040816326531,3.4149388838125523
Qwen2.5,cc,MSFT,0.008336532302200795,0.0002183515456717116,53.87755102040816,2.448979591836732
Qwen2.5,cc,NVDA,0.024812134727835656,0.0007721511570207983,55.91836734693878,2.448979591836733
Qwen2.5,cc,TSLA,0.02867543585598469,0.0006570164581846383,51.02040816326531,2.886150127292029
Llama-FinSent,gap,AAPL,0.006910609360784292,2.38839215551356e-05,54.28571428571429,3.0544141932848485
Llama-FinSent,gap,AMZN,0.008243403397500515,0.0014529336242190799,54.28571428571429,0.9997917317482315
Llama-FinSent,gap,GOOGL,0.007363600004464388,0.00023716231042064618,38.775510204081634,3.8721767267367917
Llama-FinSent,gap,META,0.006238575559109449,0.0006869505861556494,67.3469387755102,0.0
Llama-FinSent,gap,MSFT,0.006148287747055292,0.0007387869755385239,65.71428571428571,0.8163265306122458
Llama-FinSent,gap,NVDA,0.012141010351479053,0.0006642218425923687,58.77551020408163,1.5272070966424267
Llama-FinSent,gap,TSLA,0.01851869560778141,0.002000456561758125,47.3469387755102,1.9995834634964713
Llama-FinSent,cc,AAPL,0.009691036120057107,0.00029767543532066635,48.97959183673469,3.872176726736793
Llama-FinSent,cc,AMZN,0.012810507416725158,0.0002943133960410083,57.14285714285714,0.0
Llama-FinSent,cc,GOOGL,0.010609599016606807,0.00038263118960458423,44.08163265306122,7.369579626639913
Llama-FinSent,cc,META,0.010531872138381004,0.0003582671635928548,55.91836734693876,3.558284851869937
Llama-FinSent,cc,MSFT,0.00808311514556408,6.0758607069704215e-05,52.6530612244898,3.2653061224489766
Llama-FinSent,cc,NVDA,0.02463122420012951,0.0006794143165695297,55.10204081632652,1.8253616142855398
Llama-FinSent,cc,TSLA,0.03714558631181717,0.0021831537604535705,45.30612244897959,1.9995834634964742
